CustomerID,Gender,Age,Annual_Income_k,Spending_Score,Gender_encoded,Cluster,PCA1,PCA2
1,Male,41,68,33,1,0,0.044319346888669266,1.0530273210908425
2,Female,69,73,45,0,2,-1.4485631096912812,-0.5314204426494573
3,Female,28,38,38,0,2,0.657408267761895,-1.415266496766918
4,Female,66,52,37,0,2,-1.2120173652605384,-0.9535842821009038
5,Male,25,45,81,1,1,2.481638216064516,0.33860774263491294
6,Male,53,95,42,1,0,-0.6427498948797228,1.6360705871085082
7,Male,55,70,37,1,0,-0.4672024866414896,1.1423716751929278
8,Female,57,81,44,0,2,-1.0973154256943787,-0.4144237530001396
9,Female,37,90,86,0,2,0.8185710292597382,-0.46039889519425103
10,Female,52,64,30,0,2,-1.0137687331034473,-0.7414906011720419
11,Male,65,68,55,1,0,-0.3400064347625266,1.0825848607833077
12,Female,42,85,71,0,2,0.25424811231921796,-0.49053180593410667
13,Female,52,48,19,0,2,-1.0721800606750487,-1.036138048369172
14,Male,42,64,24,1,0,-0.1931415986314259,1.0053590736835476
15,Male,46,62,27,1,0,-0.24405337448683875,0.971006987457176
16,Male,35,100,24,1,0,-0.4787582857398504,1.7230396604790703
17,Male,63,88,17,1,0,-1.6756613953811066,1.6209016006887906
18,Female,35,50,33,0,2,0.02150184499642517,-1.117708289545592
19,Male,19,74,69,1,1,1.9205503075610073,0.9566129073618069
20,Male,52,70,31,1,0,-0.5129633573801762,1.149906284583547
21,Female,33,73,39,0,2,-0.09279966090146453,-0.6690463368062441
22,Male,58,61,43,1,0,-0.2757141847567612,0.9477190136122775
23,Male,53,90,1,1,0,-1.745133389755401,1.6737780754970708
24,Male,50,89,44,1,0,-0.3604629148357081,1.4912184699670803
25,Female,21,39,61,0,1,1.6023360297473197,-1.5047361294591475
26,Female,50,79,39,0,2,-0.9119486583922971,-0.46952131533695357
27,Male,31,44,57,1,1,1.5503188592518629,0.42713374199001203
28,Female,38,98,67,0,2,0.09818655468824534,-0.22402470834147156
29,Female,65,49,10,0,2,-1.9002458972664413,-0.9270661846839585
30,Male,37,68,100,1,1,2.1479570089954843,0.8039357318947539
31,Female,25,22,57,0,1,1.5922691045356374,-1.8267654473975476
32,Male,24,51,68,1,1,2.05175065544525,0.5038715150325096
33,Male,20,42,100,1,1,3.2909447423664098,0.18859281666983888
34,Female,34,58,49,0,2,0.39622924460684106,-1.0110626519918622
35,Female,50,64,20,0,2,-1.2174481527765768,-0.7157365094409426
36,Female,65,34,39,0,2,-0.8203680115386801,-1.339129529220106
37,Male,29,72,76,1,1,1.7302640431642944,0.9348329607595566
38,Male,68,62,36,1,0,-0.9186446620681669,1.0366841282827504
39,Female,39,70,73,0,2,0.6822625235092747,-0.8225019752655657
